fold,group,n_features,delta_auc,delta_accuracy,delta_brier
1,Position(XY),2,0.07638888888888895,0.08333333333333337,0.09668165972381251
1,PenGeometry,4,-0.01388888888888884,-0.08333333333333337,-0.025649743749492342
1,Dynamics(V/A/J),6,0.4097222222222223,0.20833333333333337,0.2849015472459081
1,Demographics,2,0.0,0.0,7.195353848056529e-06
2,Position(XY),2,0.06293706293706292,0.125,0.11884001168535768
2,PenGeometry,4,0.07692307692307698,0.04166666666666663,0.0038918708484069475
2,Dynamics(V/A/J),6,0.3076923076923078,0.25,0.24401313718282513
2,Demographics,2,0.0,0.0,0.0008407012736619812
3,Position(XY),2,0.17482517482517468,0.125,0.11760332538887246
3,PenGeometry,4,0.006993006993006867,0.08333333333333337,0.0218487372739576
3,Dynamics(V/A/J),6,0.07692307692307687,0.20833333333333337,0.16559976995693537
3,Demographics,2,0.0,0.0,0.0008139455540389917
4,Position(XY),2,0.05594405594405594,0.0,0.034891907985205875
4,PenGeometry,4,0.0,-0.08333333333333337,-0.012254713239379274
4,Dynamics(V/A/J),6,0.19580419580419584,0.20833333333333337,0.23142472303958167
4,Demographics,2,0.0,0.0,8.40605896071378e-05
5,Position(XY),2,0.0625,0.08333333333333326,0.07211228040761948
5,PenGeometry,4,-0.02083333333333337,0.0,-0.001274355653828524
5,Dynamics(V/A/J),6,0.32638888888888873,0.33333333333333326,0.2894313050770152
5,Demographics,2,0.0,0.0,4.449510699004733e-05
