fold,pair,delta_auc,delta_accuracy,delta_brier
1,Y+Vy,0.0625,0.04166666666666663,0.07799608025014679
1,Pressure+PenStatus,0.01388888888888895,-0.04166666666666663,0.014694316313567782
1,Age+Gender,0.0,0.0,0.0010188012078700612
2,Y+Vy,0.13286713286713292,0.16666666666666663,0.09768355040244611
2,Pressure+PenStatus,-0.027972027972027913,0.0,-0.002143224388529638
2,Age+Gender,0.006993006993006978,0.0,4.641144692063559e-05
3,Y+Vy,0.21678321678321655,0.125,0.1510167246186681
3,Pressure+PenStatus,0.006993006993006867,0.0,0.004708170702993772
3,Age+Gender,0.0,0.0,0.0003472995418871694
4,Y+Vy,0.15384615384615374,0.08333333333333337,0.13269015779129553
4,Pressure+PenStatus,0.0,-0.08333333333333337,-0.01863929569790048
4,Age+Gender,0.0,0.0,-0.00037901319974355946
5,Y+Vy,-0.013888888888889062,0.08333333333333326,0.0281507978080464
5,Pressure+PenStatus,-0.05555555555555569,0.04166666666666663,0.0012784547877650043
5,Age+Gender,0.0,0.0,8.622523914703084e-06
