feature,mean_delta_auc,std_delta_auc,ci95_low_delta_auc,ci95_high_delta_auc,p_pos_delta_auc,p_raw_delta_auc,verdict_delta_auc,n_x,q_fdr_delta_auc,sig_fdr05_delta_auc,mean_delta_accuracy,std_delta_accuracy,ci95_low_delta_accuracy,ci95_high_delta_accuracy,p_pos_delta_accuracy,p_raw_delta_accuracy,verdict_delta_accuracy,n_y,q_fdr_delta_accuracy,sig_fdr05_delta_accuracy,mean_delta_brier,std_delta_brier,ci95_low_delta_brier,ci95_high_delta_brier,p_pos_delta_brier,p_raw_delta_brier,verdict_delta_brier,n,q_fdr_delta_brier,sig_fdr05_delta_brier,feature_type,rank_auc,rank_accuracy,rank_brier,rank_spread
Vy,0.07021982646982644,0.05488926868984722,0.057181955775705735,0.08336841977466974,0.95,1e-12,robust_positive,60,1.4e-11,True,0.0923611111111111,0.055368387632538055,0.07916666666666665,0.10694444444444443,0.9,1e-12,robust_positive,60,1.4e-11,True,0.07172825916501598,0.05371785215379517,0.05834475138041611,0.08553141214419656,0.9333333333333333,1e-12,robust_positive,60,4.666666666666667e-12,True,Kinematic,1.0,1.0,1.0,0.0
Y,0.05539610852110847,0.06541219628303756,0.038959790209790165,0.07111119204869198,0.7166666666666667,5.3849697324269295e-11,robust_positive,60,3.769478812698851e-10,True,0.04444444444444443,0.06273105439242342,0.029166666666666657,0.06041666666666666,0.65,4.0661424565988744e-08,robust_positive,60,1.897533146412808e-07,True,0.04517413395594017,0.04795728738664558,0.03328897524562121,0.057478953036599896,0.8333333333333334,1e-12,robust_positive,60,4.666666666666667e-12,True,Kinematic,2.0,2.0,2.0,0.0
Pressure,0.013353891478891454,0.022337264758356127,0.007882086085211059,0.019181255665630607,0.6666666666666666,3.643034091246186e-06,robust_positive,60,1.7000825759148868e-05,True,0.011111111111111106,0.044644090199095314,0.0,0.02222222222222221,0.4166666666666667,0.05387605143990222,uncertain,60,0.09428309001982889,False,0.014642248985000793,0.014934599378059299,0.01093932394701731,0.018530956085944888,0.8666666666666667,1e-12,robust_positive,60,4.666666666666667e-12,True,Kinematic,3.0,4.0,4.0,1.0
Vx,0.0070642320642320565,0.020358697736261297,0.001942340067340049,0.011832001910126896,0.5333333333333333,0.007193294134269911,robust_positive,60,0.014386588268539823,True,0.033333333333333326,0.05303855684538424,0.020138888888888883,0.04791666666666665,0.55,1.1265598978274532e-06,robust_positive,60,3.942959642396086e-06,True,0.022420866592947578,0.035503814386347636,0.012859035098823217,0.03190670661261278,0.7666666666666667,1.0000771000821017e-06,robust_positive,60,2.3886740990329477e-06,True,Kinematic,4.0,3.0,3.0,1.0
X,0.0035474941724941366,0.029351876144322244,-0.0034164562289562737,0.010695860852110798,0.4666666666666667,0.3491781985862721,uncertain,60,0.37603806001598533,False,0.0020833333333333316,0.06391984225200856,-0.013888888888888897,0.018055555555555557,0.3333333333333333,0.8006827807866097,uncertain,60,1.0,False,0.011939634120052759,0.03422542818537168,0.0032499830405177477,0.020422229483765302,0.55,0.006888197438159725,robust_positive,60,0.010714973792692907,True,Kinematic,5.0,6.0,5.0,1.0
Tilt,0.0024507899507899425,0.016383147418967087,-0.0015022824397824478,0.006528040824915825,0.25,0.24656394576881635,uncertain,60,0.31380865825122084,False,-0.012499999999999999,0.034564141090744106,-0.021197916666666643,-0.004166666666666665,0.15,0.0050896927044602434,robust_negative,60,0.011875949643740566,True,0.003757545218668626,0.009260018756643996,0.0013324996235200082,0.006031360166424435,0.7333333333333333,0.0016712831663337087,robust_positive,60,0.0029247455410839904,True,Kinematic,6.0,12.0,6.0,6.0
Gender,0.0011655011655011631,0.0026281329650448505,0.0005827505827505816,0.001864801864801861,0.16666666666666666,0.0005923072107999374,robust_positive,60,0.0013820501585331873,True,0.0,0.0,0.0,0.0,0.0,1.0,uncertain,60,1.0,False,0.00034103196494726445,0.0012172077048925969,4.1839006473756214e-05,0.0006478478407837062,0.5833333333333334,0.029989329180663212,robust_positive,60,0.0381682371390259,True,Demographic,7.0,7.0,8.0,1.0
Age,-0.0001165501165501163,0.0009027933207942677,-0.0003496503496503489,0.0,0.0,0.317310507862914,uncertain,60,0.370195592506733,False,0.0,0.0,0.0,0.0,0.0,1.0,uncertain,60,1.0,False,7.551977786662152e-05,0.0003220552978129996,-8.195303619314413e-06,0.0001524186359125618,0.7,0.06931263308143583,uncertain,60,0.08086473859500846,False,Demographic,8.0,7.0,9.0,2.0
Ay,-0.00034884097384097477,0.010698384881558306,-0.002906084077959075,0.0022072083009583095,0.45,0.8005991067630114,uncertain,60,0.8005991067630115,False,0.008333333333333325,0.024015453279784684,0.0020833333333333285,0.01458333333333332,0.25,0.007191560913325825,robust_positive,60,0.01438312182665165,True,0.002866044038022483,0.01262094323634196,-0.00022513685107168288,0.005974897400340718,0.6166666666666667,0.07857693653999007,uncertain,60,0.08462131627383546,False,Kinematic,9.0,5.0,7.0,4.0
Jx,-0.0023293835793835797,0.011484230372237078,-0.005301735301735287,0.00023433453120952688,0.23333333333333334,0.11615025626470002,uncertain,60,0.16261035877058003,False,-1.6653345369377347e-17,0.029711418033845523,-0.007638888888888903,0.007638888888888871,0.25,0.9999999999999966,uncertain,60,1.0,False,-0.0038253194703269963,0.011726622253764432,-0.006699860905481254,-0.0009715553233463722,0.48333333333333334,0.0115107923853781,robust_negative,60,0.01611510933952934,True,Kinematic,10.0,9.0,12.0,3.0
