feature,mean_delta_auc,std_delta_auc,ci95_low_delta_auc,ci95_high_delta_auc,p_pos_delta_auc,verdict_delta_auc,n_x,mean_delta_accuracy,std_delta_accuracy,ci95_low_delta_accuracy,ci95_high_delta_accuracy,p_pos_delta_accuracy,verdict_delta_accuracy,n_y,mean_delta_brier,std_delta_brier,ci95_low_delta_brier,ci95_high_delta_brier,p_pos_delta_brier,verdict_delta_brier,n,feature_type,rank_auc,rank_accuracy,rank_brier,rank_spread
Vy,0.07278190559440557,0.05438261494767719,0.05643566069347317,0.09088283678127423,0.95,robust_positive,40,0.09791666666666665,0.05858462357699433,0.07916666666666666,0.115625,0.925,robust_positive,40,0.07502916226523643,0.05623465561009392,0.05744544059276382,0.09234630212444746,0.9,robust_positive,40,Kinematic,1.0,1.0,1.0,0.0
Y,0.0638840326340326,0.06277144855115653,0.04473405934343431,0.08120538315850812,0.75,robust_positive,40,0.05,0.05518035696578807,0.03229166666666668,0.065625,0.675,robust_positive,40,0.04998691725581681,0.041173248606144644,0.03655268106244995,0.06313467941141741,0.925,robust_positive,40,Kinematic,2.0,2.0,2.0,0.0
Pressure,0.010443376068376036,0.019851062691161842,0.004322006118881113,0.016892877088189543,0.65,robust_positive,40,0.010416666666666663,0.040857528153788326,-0.0010416666666666686,0.022916666666666658,0.4,uncertain,40,0.012375185421907587,0.013282351025566852,0.008281475276486868,0.016406481531152317,0.825,robust_positive,40,Kinematic,3.0,4.0,4.0,1.0
Vx,0.0095619658119658,0.02168604998478275,0.003427514325951829,0.01601753715034965,0.575,robust_positive,40,0.03437499999999999,0.05884051492450755,0.016666666666666646,0.05208333333333333,0.575,robust_positive,40,0.023828060010358625,0.03865748569520973,0.01242198173354473,0.035806575716470404,0.775,robust_positive,40,Kinematic,4.0,3.0,3.0,1.0
Tilt,0.004890248640248629,0.01823149049111245,-6.495240870251912e-06,0.010664942696192692,0.3,uncertain,40,-0.014583333333333332,0.03473290433975603,-0.026041666666666664,-0.005208333333333329,0.125,robust_negative,40,0.0032857894601961944,0.008575891465236442,0.0005240112773391771,0.0061861857752815285,0.7,robust_positive,40,Kinematic,5.0,12.0,6.0,7.0
X,0.0010999417249416888,0.028540928876719884,-0.007281863102175651,0.00946608513014761,0.475,uncertain,40,0.003125,0.06356815161922597,-0.016666666666666666,0.021875,0.35,uncertain,40,0.010894307743793668,0.03477493829341047,0.0005292337301369995,0.02205239823929073,0.55,robust_positive,40,Kinematic,6.0,6.0,5.0,1.0
Gender,0.0010489510489510468,0.002528813184194327,0.0003496503496503489,0.001923076923076919,0.15,robust_positive,40,0.0,0.0,0.0,0.0,0.0,uncertain,40,0.0003025872415854072,0.0011713435689206543,-2.970645604749752e-05,0.0006694596587315682,0.575,uncertain,40,Demographic,7.0,8.0,8.0,1.0
Age,-0.00017482517482517445,0.001105691489569361,-0.0005244755244755234,0.0,0.0,uncertain,40,0.0,0.0,0.0,0.0,0.0,uncertain,40,7.366584373986341e-05,0.00034031788633357633,-4.12020662209562e-05,0.0001699343899235961,0.725,uncertain,40,Demographic,8.0,8.0,9.0,1.0
Ay,-0.000700514763014759,0.011693972393009578,-0.0038474893162392964,0.0029550310800310737,0.4,uncertain,40,0.008333333333333323,0.02531848417709166,0.0010416666666666547,0.01666666666666665,0.25,robust_positive,40,0.001914700586309545,0.013842722207077255,-0.0028008363380079134,0.005839092314200876,0.575,uncertain,40,Kinematic,9.0,5.0,7.0,4.0
Ax,-0.002961101398601393,0.010597439767271103,-0.006098363442113412,0.00017731400543898921,0.3,uncertain,40,-0.0010416666666666686,0.02748915222462288,-0.009374999999999998,0.00729166666666666,0.2,uncertain,40,-0.0034134386446649677,0.007042105273309447,-0.0055241754462794414,-0.0014402627521187727,0.45,robust_negative,40,Kinematic,10.0,10.0,12.0,2.0
Jy,-0.003129856254856259,0.013786093268560532,-0.006980046862859361,0.001236584595959572,0.2,uncertain,40,-0.0020833333333333424,0.03261785556140227,-0.012500000000000002,0.007317708333333309,0.225,uncertain,40,-0.0018804290483998812,0.015847728875543844,-0.006562888746750699,0.0038207455489613802,0.525,uncertain,40,Kinematic,11.0,11.0,10.0,1.0
Jx,-0.0031504953379953406,0.012853398407389839,-0.006994281759906737,0.0005171911421911175,0.2,uncertain,40,0.0031249999999999833,0.027326733359941797,-0.005208333333333351,0.011458333333333317,0.25,uncertain,40,-0.003115161444492919,0.012129929912785354,-0.006896977819102262,0.0009814040399238634,0.525,uncertain,40,Kinematic,12.0,7.0,11.0,5.0
PenStatus,-0.010436091686091711,0.01971178082643587,-0.0170285183566434,-0.004881598436285948,0.05,robust_negative,40,-0.018750000000000003,0.03261785556140229,-0.030208333333333337,-0.009375000000000003,0.0,robust_negative,40,-0.007676299239937989,0.008522470977933483,-0.010153572999424942,-0.005124208682196338,0.25,robust_negative,40,Kinematic,13.0,13.0,13.0,0.0
Azimuth,-0.013733488733488754,0.022329358857662417,-0.021191846348096382,-0.007831894667832216,0.05,robust_negative,40,-0.019791666666666662,0.026667167463246266,-0.02812499999999999,-0.011458333333333334,0.025,robust_negative,40,-0.009225190916446146,0.016802871887609025,-0.014521406619003089,-0.003667006457268455,0.25,robust_negative,40,Kinematic,14.0,14.0,14.0,0.0
